Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Date théorique de fin de situation forborne;Non renseigné;Date théorique de fin de la situation de FORBORN de la créance;Contrats;Forbearance Theoretical End Dt;TEC_CONTRACT;FRBRNC_THRTCL_END_DT
Nationalité débiteur cédé;Non renseigné;Correspond à la nationalité du débiteur de la créance cédée comme sûreté.;Garanties reçues;Debitor Nationality Cd;TEC_RECEIVED_GUARANTEE;DROR_NTLTY_CD
Source rating tranche;Non renseigné;Source du rating de la tranche;Contrats;Securitization Tranche Rating Source Cd;TEC_CONTRACT;SCURTZN_TRNCH_RTG_SRC_CD
Montant des fonds remis;Non renseigné;Montant exprimé en devise d'orgine  qui correspond au cumul des fonds mis à la disposition du client. Ce montant évolue à chaque déblocage de fonds dans le cas de réalisations fractionnées et devient invariant lors de la réalisation soldante. Par définition, il est toujours inférieur ou égal au montant du prêt accordé.;Contrats;Provided Funds Amt;TEC_CONTRACT;PRVDD_FUNDS_AMT
Indicateur provision;Non renseigné;Indicateur permettant d'indiquer que la provision spécifique adossée couvre à hauteur de 20% et plus l'engagement (douteux);Contrats;Provision Ind;TEC_CONTRACT;PRVSN_IND
LTI à l'octroi;Non renseigné;Loan to income à l’octroi (Mt du prêt accordé sur les revenus du client);Contrats;Granting LTI Val;TEC_CONTRACT;GRNTNG_LTI_VAL
Montant Coupons courus non échus des titres reçus en garantie;Non renseigné;Signe du montant, partie entière, Partie décimale;Garanties reçues;Received Collateral Investment Product Non Expired Coupon Amt;TEC_RECEIVED_GUARANTEE;RECVD_CLTRL_INVSTMT_PRD_NEXP_CPN_AMT
Date déchéance terme;Non renseigné;Date à laquelle la banque met fin au contrat et exige le remboursement total du crédit (impayés + échéances à venir + frais + Intérêt);Contrats;Acceleration Dt;TEC_CONTRACT;ACLRTN_DT
Nombre salariés;Non renseigné;Nombre de salarié;Tiers;Employees Qty;TEC_PARTY;EMPLES_QTY
Montant  MTM Pied de coupon (euro);Non renseigné;Non renseigné;Contrats;Base Coupon MtM Euro Amt;TEC_CONTRACT;BASE_COUPN_MTM_EURO_AMT
Annee mise en service bien;Non renseigné;Année de mise en service du bien.;Garanties reçues;Start Year Num;TEC_RECEIVED_GUARANTEE;STRT_YR_NUM
Code Convention jour de calcul intérêts - Jambe empr.;Non renseigné;Non renseigné;Contrats;Borrowing Leg Interest Calculation Convention Day Cd;TEC_CONTRACT;BORWG_LEG_INT_CALCN_CNVTN_DY_CD
Type opération;Non renseigné;Correspond au type des opérations autorisées à être tirées dans le cadre de l'autorisation mise en place.;Autorisation;Operation Type Cd;TEC_AUTORIZATION;OPRTN_TYPE_CD
Libellé Type de Tiers;Non renseigné;"Contexte 
Les nouvelles exigences BCE imposent aux fonctions Finances et Risques à court terme :
- De nouveaux reportings réglementaires consolidés Groupe nécessitant de collecter les données granulaires à la maille contrat pour toutes les entités (Anacrédit dès S2 2018, Prudent Valuation, Asset Encumbrance,…)
     - Multiplication des nombres total de lignes (par environ 25 sur le Retail) et du nombre de champs à collecter ( par 50% sur l’ensemble des Clientèles)
     - Hausse des coûts projets et de fonctionnement IT et métiers
- Une qualité « comptable » des données, c’est-à-dire des données de source comptable locale ou issues d’un rapprochement comptable en local (exigence BCBS239)
     - Une cohérence des chiffres sources inter-reportings quels que soient les axes de restitution (par clients, par produits, par entités)
     - La mise en place de nouveaux rôles dédiés pour gouverner et piloter ces données

Le programme Convergence Finances et Risques consiste à : 
- Adapter notre organisation centrale pour mutualiser les filières de collecte Finances-Risques
- Engager avec les entités des travaux de mise en qualité des données nécessaires à cette convergence
- Proposer un cadre de réponse IT global pour répondre aux prochaines exigences règlementaires tout en rationalisant les efforts de mise en œuvre et en maîtrisant les coûts de fonctionnement.

Enjeux
- Simplifier et mutualiser la collecte des données granulaires entre les métiers finances et risques, en ligne avec les objectifs du PMT :
- Recherche de synergies entre les projets Finances et Risques : cahier des charges commun sur la collecte, définition commune des contrôles en central, synchronisation des calendriers des projets
- Mutualisation des processus métiers de collecte et de contrôles des données entre Finances et Risques, entre le central et les entités, 
- Simplification des systèmes d’information : rationalisation des échanges entre les entités et le central, création d’un entrepôt commun de données Finances et Risque : projet  Zone de Partage
";Tiers;Party Type Lb;TEC_PARTY;PRTY_TYPE_LB
Référence du contrat adossé;Non renseigné;Dans le cas d'une opérations pour compte de la clientèle, compléter la référence contrat adossé. Dans le cas d'une opérations pour compte propre, laisser vide.;Contrats;Associated Agreement Num;TEC_CONTRACT;ASSOCD_AGMT_NUM
Indicateur impayé;Non renseigné;Indicateur d'impayé;"Tranches ""OMP""";Drawn Amt Default Status Cd;TEC_IFRS9_TRANCHE;DRWN_AMT_DFLT_STS_CD
Numéro de compte PCCA de l'encours en norme IAS;Non renseigné;Numéro de compte PCCA de l'encours en norme IAS;Contrats;Outstanding Amt IAS COAA Cd;TEC_CONTRACT;OUTST_AMT_IAS_COAA_CD
Montant capital en arriéré de paiement;Non renseigné;Montant du capital en arriéré de paiement;Contrats;Unpaid Drawn Capital Amt;TEC_CONTRACT;UNPD_DRWN_CPTL_AMT
Valeur Marché de l'actif à dernière date d'évaluation (euro);Non renseigné;Non renseigné;Contrats;Last Assessment Asset Market Value Euro Amt;TEC_CONTRACT;LAST_ASESMT_ASSET_MKT_VAL_EURO_AMT
Périodicité du contrôle;Non renseigné;Correspond au nombre de jours définissant la périodicité du contrôle du covenant.;Garanties reçues;Control Periodicity Cd;TEC_RECEIVED_GUARANTEE;CNTRL_PERIODCITY_CD
Application source;Non renseigné;Non renseigné;Contrats;Application Cd;TEC_CONTRACT;APLCTN_CD
Zone réservé CASA;Non renseigné;"Obligatoire si entité porteuse de risques (C1 0.2) = '00018'
Zone exploitée uniquement par les entités déclarant les risques portés par Crédit Agricole S.A.
Numéro du Centre de Responsabilité comptable (CRC) sur 2 caractères. Décomposition comptable du Siège en Activités (comptabilités auxiliaires). Permet de gérer les opérations pour compte propre CAsa. 
La valeur doit être connue du langage commun LC.72 'Liste des numéros de CRC'.";Lignes d'autorisation;Accounting Responsability Center Cd;TEC_AUTORIZATION_LINE;ACCNTG_RESPONSABL_CTR_CD
Durée maximale engagement;Non renseigné;Période, en nombre de jours, définissant la durée maximale de l'engagement.;Lignes d'autorisation;Exposure Maximal Duration Num;TEC_AUTORIZATION_LINE;EXPSR_MAXIMAL_DURTN_NUM
Devise provision / décote;Non renseigné;Non renseigné;Provisions;Previous Accounting Period Depreciation Currency Cd;TEC_DEPRECIATION;PREV_ACCNTG_PRD_DPRCTN_CURY_CD
Montant du palier;Non renseigné;Montant du premier déblocage de fond;Paliers;Schedule Stage Amt;TEC_SCHEDULE_STAGE;SCHD_STGE_AMT
Identifiant local du tiers en risque;Non renseigné;Non renseigné;Lignes d'autorisation;Risk Party Local Id;TEC_AUTORIZATION_LINE;RISK_PRTY_LOCL_ID
Identifiant entité;Non renseigné;"Identifiant national de l’entité déclarante
Correspond au code consolidation comptable (sur 5 caractères)";Lignes d'autorisation;Entity Id;TEC_AUTORIZATION_LINE;ENT_ID
Centre comptable;Non renseigné;"Permet d'identifier le service gestionnaire du contract.
Cette notion ne s'applique pour les Caisses régionales";Contrats;Accounting Division Cd;TEC_CONTRACT;ACCNTG_DVISN_CD
Devise capital théorique restant dû;Non renseigné;Devise du capital théorique restant dû;Contrats;Theoretical Capital Outstanding Currency Cd;TEC_CONTRACT;THRTCL_CPTL_OUTST_CURY_CD
Traitement GRR;Non renseigné;Permet de filtrer certains engagements du moteur GRR (pour faciliter les correctifs);Contrats;GRR Engine Cd;TEC_CONTRACT;GRR_ENGN_CD
Montant Nominal des titres (cessions tempo.) - Jambe empr. (euro);Non renseigné;Non renseigné;Contrats;Borrowing Leg Investment Product Nominal Euro Amt;TEC_CONTRACT;BORWG_LEG_INVSTMT_PROD_NMNL_EURO_AMT
Devise ICNE;Non renseigné;Code devise des ICNE;Contrats;Debit Accrued Interest Not Due Amt Currency Cd;TEC_CONTRACT;DR_ACRUD_INT_NOT_DUE_AMT_CURY_CD
Devise montant découvert;Non renseigné;Devise d'expression du découvert;"Tranches ""OMP""";Overdraft Balance Amt Currency Cd;TEC_IFRS9_TRANCHE;OVRDRFT_BAL_AMT_CURY_CD
Sens Transaction;Non renseigné;Indicateur précisant le sens de l’opération du point de vue de la banque.;Contrats;Transaction Direction Cd;TEC_CONTRACT;TSACTN_DRCTN_CD
Mode de calcul des intérêts;Non renseigné;Indique si les intérêts sont calculés avant ou après la période d'intérêt;Contrats;Interest Calculation Method Cd;TEC_CONTRACT;INT_CALCN_METH_CD
Devise loyers;Non renseigné;Devise des loyers;Contrats;Agreement Asset Leasing Currency Cd;TEC_CONTRACT;AGMT_ASSET_LEASG_CURY_CD
Montant PNU;Non renseigné;Montant de la PNU (Part Non Utilisée);Contrats;Undrawn Amt;TEC_CONTRACT;UNDRWN_AMT
Indicateur institution financière non régulée;Non renseigné;Indicateur Institution financière Non régulée (IFNR);Tiers;Unregulated Financial Institution Ind;TEC_PARTY;UNRGLTD_FINCL_INSTUTN_IND
Identifiant SIREN BDF;Non renseigné;"Identifiant, autre que l'Identifiant tiers, permettant de reconnaître le tiers 
Il peut s'agir d'identifiants internes ou externes";Tiers;SIREN BDF Id;TEC_PARTY;SIREN_BDF_ID
Date fin palier;Non renseigné;Date de fin du palier;Paliers;Schedule Stage End Dt;TEC_SCHEDULE_STAGE;SCHD_STGE_END_DT
Devise encours à date d'arrêté;Non renseigné;Code devise encours à date d'arrêté;Contrats;Operation Date Outstanding Amt Currency Cd;TEC_CONTRACT;OPRTN_DT_OUTST_AMT_CURY_CD
Montant Notionnel (euro) - Jambe vendue;Non renseigné;Montant du notionnel de la jambe vendue;Contrats;Sell Leg Nominal Euro Amt;TEC_CONTRACT;SEL_LEG_NMNL_EURO_AMT
Entité rattachée au Tiers dépositaire;Non renseigné;Non renseigné;Garanties reçues;Depository Party Entity Id;TEC_RECEIVED_GUARANTEE;DPOSTRY_PRTY_ENT_ID
Code garantie réelle;Non renseigné;Code de la garantie;"Tranches ""OMP""";Real Guarantee Risk Mitigant Cd;TEC_IFRS9_TRANCHE;REAL_GUAR_RISK_MTGNT_CD
Montant Intérêts payés ou capitalisés - Jambe empr.;Non renseigné;Montant des intérêts payés ou capitalisés dans le mois en devise - Jambe emprunteuse;Contrats;Borrowing Leg Paid Interest Amt;TEC_CONTRACT;BORWG_LEG_PD_INT_AMT
Méthode notation tiers;Non renseigné;Méthode de notation du tiers;"Tranches ""OMP""";Party Rating Method Cd;TEC_IFRS9_TRANCHE;PRTY_RTG_METH_CD
Taux Effectif Global;Non renseigné;rates Effectif Global;Contrats;Global Effective Interest Rate;TEC_CONTRACT;GLOBL_EFF_INT_RATE
Devise part vendue;Non renseigné;Non renseigné;Autorisation;Securitization Tranche Sell Amt Currency Cd;TEC_AUTORIZATION;SCURTZN_TRNCH_SEL_AMT_CURY_CD
Intention de gestion;Non renseigné;Permet de connaître le portefeuille de classification en normes internationales;Contrats;Classification Portfolio Cd;TEC_CONTRACT;CLASFCN_PTFOL_CD
Nature titrisation;Non renseigné;Ce champ permet d’identifier la nature de la titrisation;Contrats;Securitization Pool Type Cd;TEC_CONTRACT;SCURTZN_POOL_TYPE_CD
Montant intérêts restant dus (euro);Non renseigné;Montant des intérêts restant dus en euros;"Tranches ""OMP""";Interest Outstanding Euro Amt;TEC_IFRS9_TRANCHE;INT_OUTST_EURO_AMT
Titre titrisation;Non renseigné;Type de titrisation;Contrats;Securitization Type Cd;TEC_CONTRACT;SCURTZN_TYPE_CD
Montant échéance;Non renseigné;Montant  de l'échéance (capital + intérêts) dans le cas d'un amortissement à montant constant;Contrats;Payment Amt;TEC_CONTRACT;PMT_AMT
Date de fin de mobilisation;Non renseigné;Non renseigné;Contrats;Mobilization End Dt;TEC_CONTRACT;MOBILIZATION_END_DT
Devise nominal historique - Jambe Rec.;Non renseigné;Code devise nominal historique en devise - Jambe Receveuse;Contrats;Lending Leg Nominal Historical Amt Currency Cd;TEC_CONTRACT;LENDG_LEG_NMNL_HSTCL_AMT_CURY_CD
Type taux;Non renseigné;Type de taux d'intérêts pour l'échéance;Echéanciers;Rate Type Cd;TEC_SCHEDULE;RATE_TYPE_CD
Montant Nominal des titres (cessions tempo.) - Jambe empr.;Non renseigné;Signe du montant, partie entière, partie décimale;Contrats;Borrowing Leg Investment Product Nominal Amt;TEC_CONTRACT;BORWG_LEG_INVSTMT_PROD_NMNL_AMT
Solde compte;Non renseigné;Solde de compte en devise;"Tranches ""OMP""";Ending Ledger Balance Amt;TEC_IFRS9_TRANCHE;ENDG_LEDGR_BAL_AMT
Montant vendu à l'intérieur de la tranche (euro);Non renseigné;Montant vendu à l'intérieur de la tranche en contrevaleur euro;Autorisation;Securitization Tranche Sell Euro Amt;TEC_AUTORIZATION;SCURTZN_TRNCH_SEL_EURO_AMT
Type jambe opération;Non renseigné;Jambe pour laquelle le flux à été généré dans le cas des Swaps;Echéanciers;Operation Leg Type Cd;TEC_SCHEDULE;OPRTN_LEG_TYPE_CD
Périodicité de révision du taux (nombre);Non renseigné;La périodicité de révision d’un crédit à taux variable est la fréquence de révision du taux du prêt. Elle est à renseigner pour les prêts autres que prêts à taux fixe, y compris lorsque le prêt est sur la dernière période.;Contrats;Rate Review Periodicity Num;TEC_CONTRACT;RATE_RVW_PERIODCITY_NUM
Année précédente;Non renseigné;Non renseigné;Arrêtés;Previous Year Dt;TEC_STATEMENT_DATE;PREV_YR_DT
Libellé Sous type de tiers;Non renseigné;"Contexte 
Les nouvelles exigences BCE imposent aux fonctions Finances et Risques à court terme :
- De nouveaux reportings réglementaires consolidés Groupe nécessitant de collecter les données granulaires à la maille contrat pour toutes les entités (Anacrédit dès S2 2018, Prudent Valuation, Asset Encumbrance,…)
     - Multiplication des nombres total de lignes (par environ 25 sur le Retail) et du nombre de champs à collecter ( par 50% sur l’ensemble des Clientèles)
     - Hausse des coûts projets et de fonctionnement IT et métiers
- Une qualité « comptable » des données, c’est-à-dire des données de source comptable locale ou issues d’un rapprochement comptable en local (exigence BCBS239)
     - Une cohérence des chiffres sources inter-reportings quels que soient les axes de restitution (par clients, par produits, par entités)
     - La mise en place de nouveaux rôles dédiés pour gouverner et piloter ces données

Le programme Convergence Finances et Risques consiste à : 
- Adapter notre organisation centrale pour mutualiser les filières de collecte Finances-Risques
- Engager avec les entités des travaux de mise en qualité des données nécessaires à cette convergence
- Proposer un cadre de réponse IT global pour répondre aux prochaines exigences règlementaires tout en rationalisant les efforts de mise en œuvre et en maîtrisant les coûts de fonctionnement.

Enjeux
- Simplifier et mutualiser la collecte des données granulaires entre les métiers finances et risques, en ligne avec les objectifs du PMT :
- Recherche de synergies entre les projets Finances et Risques : cahier des charges commun sur la collecte, définition commune des contrôles en central, synchronisation des calendriers des projets
- Mutualisation des processus métiers de collecte et de contrôles des données entre Finances et Risques, entre le central et les entités, 
- Simplification des systèmes d’information : rationalisation des échanges entre les entités et le central, création d’un entrepôt commun de données Finances et Risque : projet  Zone de Partage
";Tiers;Party Subtype Lb;TEC_PARTY;PRTY_SBTYPE_LB
Objet Métier;Non renseigné;Non renseigné;Paliers;Flow Type Cd;TEC_SCHEDULE_STAGE;FLOW_TYPE_CD
Indicateur grande institution financière;Non renseigné;Indicateur Grande Institution financière (GIF);Tiers;Large Financial Institution Ind;TEC_PARTY;LRG_FINCL_INSTUTN_IND
Identifiant interne ZP de la garantie reçue;Non renseigné;"Permet d'identifier de manière unique le contrat dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Garanties reçues;Received Guarantee Id;TEC_RECEIVED_GUARANTEE;RECVD_GUAR_ID
Devise encours moyen mensuel créditeur;Non renseigné;Non renseigné;Contrats;Month Average Outstanding Credit Amt Currency Cd;TEC_CONTRACT;MTH_AVG_OUTST_CR_AMT_CURY_CD
Catégorie socioprofessionnelle;Non renseigné;Catégorie socioprofessionnelle (INSEE);Tiers;Occupation Type Cd;TEC_PARTY;OCPTN_TYPE_CD
Droits à crédit disponibles (euro);Non renseigné;Montant droits à crédit disponibles à date d'arrêté;Contrats;Credit Eligible Euro Amt;TEC_CONTRACT;CR_ELGBL_EURO_AMT
TCI Composante Risque de base;Non renseigné;Non renseigné;Contrats;Internal Transfert Price - Base Risk Component Rate;TEC_CONTRACT;INTRNL_TFRT_PRC_BASE_RISK_COMPT_RATE
PCCO montant déclaré;Non renseigné;Numéro du poste comptable PCCO correspondant au montant déclaré ci-dessus;Contrats;Undraw Amt COA Cd;TEC_CONTRACT;UNDRW_AMT_COA_CD
Méthode ifrs9 - PD;Non renseigné;Clé d'appariemment avec les courbes de PD du référentiel ifrs9;Contrats;PD IFRS9 Methodology Cd;TEC_CONTRACT;PD_IFRS9_METHDGY_CD
Nature exposition;Non renseigné;"Permet d'identifier la nature du contrat d'exposition
Valeurs possibles : Autorisation (A), Ligne d'autorisation (L), Encours (E), PNU (P), Arriéré (R)";Contrats;Exposure Nature Cd;TEC_CONTRACT;EXPSR_NATR_CD
Zone risque Tiers garant;Non renseigné;Zone de risque se référant au Tiers garant;"Tranches ""OMP""";Guarantor Risk Area Cd;TEC_IFRS9_TRANCHE;GUARTR_RISK_AREA_CD
